gene_name,entrez_id
NaCP60E,37981
sna,34908
mlt,36072
Axs,32645
CG10947,35309
Sap30,32664
Der-2,42005
ect,44135
CG43739,14462810
CG2765,37994
CG42741,37654
woc,47249
rhea,38978
Vha100-2,42216
CG43333,34830
Hil,37328
CG10874,33394
CG46318,30522407
CG10747,35295
CG1275,38286
CG34190,5740440
CG31935,33338
CG14073,40046
CG18208,42258
nyo,43716
CG34342,5740152
dy,32130
pan,43769
if,38012
Dd,33107
neur,41085
CG10055,40862
Cbp53E,36905
SLO2,5740325
CG15365,31829
CG46313,30522402
CG12344,36145
chinmo,33343
dao,36128
CG32647,326226
CG34354,5740528
Mrtf,38338
Kul,43501
CalpB,39165
CG46308,30522397
Ir76a,40157
CG43901,32024
CG33523,38668
otk,36283
Socs16D,32760
Ras85D,41140
Mnn1,33991
lov,38007
Eip78C,40345
CG34383,5740131
CG11658,39319
wts,43651
Msp300,3771968
mbf1,39842
Drak,32097
dpr6,50296
kek6,43729
CG8046,35936
HDAC6,32461
CG7990,32909
puf,42935
Atf3,43867
Rbp,44505
zfh2,43795
rudhira,32136
CG8213,35902
CG14142,39261
Ca-alpha1D,34950
CG14042,4379885
CG42594,8674091
mbl,36945
Nak,48971
CG45092,19836220
KP78a,41362
CG30497,246653
CG43187,12798317
qvr,2768718
THADA,33001
CG10948,39459
CG34355,42820
Nrx-1,42646
Ten-a,32183
nAChRbeta2,42920
l(1)G0469,32371
CG42724,40785
fus,44095
CG45050,41114
CG46244,26067072
put,41772
CG18585,34041
Hr4,31162
Rbp9,33498
CG10570,50466
orb,42752
ct,44540
btsz,3346167
spn-E,41919
