gene_name,entrez_id
Dim1,37100
CG2291,35804
CG46313,30522402
CG13114,34272
CG43739,14462810
CG5510,42872
CG32119,317866
Spn47C,36163
CG32457,318040
Scgbeta,41525
Vps28,47408
CG5316,42322
Ran-like,39666
Tsp47F,36230
GIIIspla2,31747
phm,31181
Duox,33477
kat-60L1,40715
CG1550,35732
CG15071,37153
Tsp42Ek,35621
CG15530,43589
CPT2,38355
l(3)04053,46158
CG44163,14462623
CG14069,34510
l(1)G0320,326234
Spase22-23,42885
CG9213,32490
CG9338,35357
eIF4E3,38923
erm,31816
Myb,32543
ProRS-m,38331
HisCl1,41426
CG6765,38971
TwdlD,43210
CG7367,34094
CG3198,31602
loqs,34751
CAH2,39390
CG10348,35132
CG34116,4379912
Cpr49Ac,36348
tal-1A,7354381
tal-3A,7354378
CG11597,39337
CG11227,33071
Tasp1,39757
AdamTS-A,41887
RpL22-like,37684
tal-2A,7354376
CG42507,8674092
Cnx14D,32620
CG7497,39966
CG46316,30522405
Keap1,42062
Phm,31181
Csp,40459
CG15465,31434
ana,37042
Grip91,48481
CG42516,8674068
Ggamma1,35881
TrxT,31443
sens,45328
qvr,2768718
MESR4,36986
tbrd-2,37207
CG34342,5740152
Gycalpha99B,43493
CG12316,39650
CG4691,34856
mthl15,318914
GCS2alpha,49953
CG42240,7354471
Roe1,36508
Gk2,38221
Cyt-b5,35688
z,31230
CG10205,36650
CG13215,36182
Cyp4p2,35946
Dbp80,3354919
CG9806,31994
CG3638,31071
salm,34569
alpha4GT1,33512
CG15059,32806
CG12004,38185
wek,48785
CG7718,42254
Cyt-c1,34995
CG5038,41867
mtsh,34141
CG12913,36079
CG10383,35123
CG31268,318652
CG3655,31056
ken,37785
CG43931,14462897
resilin,36880
CG5863,42096
CG15177,40810
cib,31359
CG9231,40130
MED9,37079
CG31522,40567
Cdc42,32981
CG1999,31671
Cyp4g1,30986
CG2663,40649
CG11656,41600
RpL37a,44783
Fer2,44965
CG12034,38396
PPP4R2r,31979
Gs1l,33653
CAHbeta,41070
CG18065,3772419
CG9467,41207
CG11247,40414
Sras,44002
wgn,32849
CG13743,35911
CG12009,38405
2-Sep,42438
CG3117,33484
pic,41611
Kr-h2,33859
CG14964,38384
Oseg4,38219
AOX1,41894
dpn,35800
CG11537,38373
nSyb,38196
Ptpmeg,38059
dpr11,40800
hubl,246567
Ctf4,36551
CycG,43724
CG5830,39748
hfp,38173
Sra-1,41861
CG12024,38243
S6kII,33139
Dhc64C,38580
Traf-like,32611
Ire1,47767
Cpr47Ea,36188
CG46318,30522407
frm,38624
Or43a,35644
LSm-4,3772280
yuri,34894
Cyp6a19,36662
CG10353,32148
Cpr78Cb,40353
CG15890,32401
otk2,36284
RluA-1,34438
Glycogenin,37419
pdm3,35813
CG7650,39694
PH4alphaMP,43624
NK7.1,41747
MTF-1,39089
CBP,43856
Syx1A,42854
Gbs-70E,39588
Inx2,31646
crc,47767
Fak,37233
CG33970,43186
CG31760,34642
CG14883,41997
CG11779,42298
Ehbp1,36912
CG2765,37994
CG42488,8674037
CG14764,35749
CG4497,34001
caz,32587
CG12581,40522
IRSp53,39258
CG46308,30522397
CG17707,5740408
tra2,36619
CG9297,41688
CG4462,42376
CG13581,37911
step,35425
dpr1,38559
CG8611,32725
CG11710,33044
CG14691,41287
CG5746,42903
betaTub60D,37888
CG5872,40262
qkr58E-2,37562
CG34370,5740565
RluA-2,34440
CG8468,36577
CG14627,31063
euc,42271
CG42321,36488
CG42340,7354472
chrb,39284
CG9628,39593
CG46319,30522408
CG12096,32269
CG14527,43412
ect,44135
Cadps,49968
SmD2,40781
CG1136,38479
CG18208,42258
dpr15,41473
CG1718,33103
CG46314,30522403
CG34177,5740338
CG30148,37318
Moe,31816
CG11319,33923
CG31516,318776
CG43897,39153
red,40165
CG17139,34497
CG14459,40476
Bruce,41260
par-6,32752
CG8516,41206
Obp50b,246435
heix,34961
Lam,33782
CG42660,10178939
Ptp4E,31425
sca,36411
CG31869,34490
CrebA,39682
CG6191,36513
PGRP-LD,3771920
CG34394,33552
sbr,43944
BicD,35051
hep,32256
Capr,59172
Calx,42481
CG46280,26067077
CG2865,31217
Atf6,35480
CG32537,318079
Or63a,38354
CG13300,38730
mfr,39016
CG3257,37862
Prm,39002
CG16953,42437
Rab3-GEF,32442
Inx3,44266
Mipp2,31544
Rtf1,37554
Corp,31764
mAChR-B,40955
sick,35277
Mgat2,43563
CG9766,40539
mim,2768716
CG4836,42387
MCPH1,36272
vimar,35609
Glut1,38109
CASK,42567
ps,44885
CG12071,43660
Rab30,33988
Elk,37047
kn,40287
Tet,38347
Mbs,49070
oys,36045
Syngr,36533
Ret,43875
CG42784,326165
CG42661,10178846
tna,39217
CG12177,32326
lute,42089
CG13366,31004
Ubqn,32977
CG31189,42487
osk,41066
DIP-alpha,31322
rl,3354888
CG34377,42608
CG6136,41877
CG31098,43057
nrv3,35408
U26,34175
CG4896,33305
sbb,44027
Hsl,37289
Traf6,31746
dpr8,32387
elfless,35076
Tim17a1,41500
RunxA,4379817
Dop1R1,41726
Abd-B,47763
arx,40061
CG5541,2768877
sns,44097
mld,2768685
mamo,32353
List,37157
ADD1,37230
CG7214,34053
CG40485,3355165
stnA,3355164
CG32845,318243
cpx,64877
CG5890,43126
TwdlV,40537
Xport-B,8673993
Ipp,37517
Gat,32640
NimB1,34813
pros,41363
Srpk79D,36706
ric8a,31874
CG34354,5740528
Ets96B,42952
waw,3771960
CG18170,3772196
Trpgamma,34991
CG34355,42820
Trf2,31773
tutl,46015
hwt,32202
Or59b,37715
CG34113,4379844
Tollo,44497
frc,39943
trv,43362
Mlh1,35796
CG42307,7354423
CG45263,50003
RasGAP1,39158
msl-2,33565
ND-13A,33744
snz,31704
PDZ-GEF,33881
MTA1-like,40693
cno,40620
Gad1,38484
CG1504,33028
CG14142,39261
p24-2,318890
CG7311,34776
shn,36171
CG42337,40335
sqd,41666
Mical,41225
Syt1,33473
Cyp6a16,19836250
Mulk,326168
Pink1,31607
Afti,41744
Nckx30C,45248
mbl,36945
sgg,31248
Miga,31775
Bsg,318841
Sh,32780
REPTOR,42930
CG46307,30522396
CG7579,39714
CG44195,14462837
CG17598,33140
mus312,38809
strat,34142
hdc,43604
Rdl,39054
CG10097,3771756
Dic1,41640
ppk11,34299
CG34401,50356
PsGEF,31224
raptor,31543
thoc6,39394
CNBP,37646
mei-217,3771806
CG12768,40513
Hr4,31162
CG43373,39835
dpr6,50296
CG10543,37379
PMCA,43787
CG13397,46386
Ca-beta,34557
CG43778,34738
mub,40436
CG4360,42413
aPKC,47594
nsl1,41911
Pkc98E,43428
elav,31000
tinc,42148
bchs,33819
CG8664,32719
CG14817,31145
eIF4EHP,326255
CG31157,318608
CG12605,38468
beat-VII,43213
Pc,40358
hang,32613
DCTN6-p27,35195
Hk,31955
CG32425,40273
CG34114,4379854
CG11248,40411
jim,43924
CG1958,31661
CHES-1-like,31678
CG45086,19835902
dsd,43315
Dgk,31826
CG32683,31970
Akt1,41957
Pmi,41852
CG14131,39328
fend,31843
PlexA,43832
CG34327,5740714
Hem,32256
fog,33225
CG42613,42269
bru1,34648
pgant6,38346
brat,35197
PSR,42616
CG11155,43822
CG5577,39985
CG12945,41204
CG3588,31278
CG12535,31311
Lip4,34450
CG30427,37986
Hmg-2,37407
Gp210,35512
CG1888,35979
LRR,35715
Vps11,317987
mip40,37215
Or59c,37716
Idgf3,34981
Pi3K21B,33203
CG12728,31526
CG33648,3772188
lgs,43791
CG8908,37293
EndoA,42265
Hcf,43788
jigr1,43093
mtd,45467
Tsp97E,43241
CG33303,2768916
CG17683,3355011
Imp,32009
ATPsyndelta,42291
Diedel3,50358
Mer,32979
Neb-cGP,50417
CG16974,34713
PIP4K,3885565
pnr,44849
nAChRalpha5,34826
RpL5,3355124
shakB,33062
CG17493,3355126
Pdk1,38017
Hipk,38070
Dys,36773
CG15098,37174
